business_status,geometry/location/lat,geometry/location/lng,geometry/viewport/south,geometry/viewport/west,geometry/viewport/north,geometry/viewport/east,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code/compound_code,plus_code/global_code,rating,reference,scope,types/0,types/1,types/2,user_ratings_total,vicinity,photos/0/height,photos/0/html_attributions/0,photos/0/width,opening_hours/open_now,permanently_closed,types/3,types/4
OPERATIONAL,49.2369213,7.0079913,49.23548347010727,7.006685970107278,49.23818312989272,7.009385629892722,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Feuerwache I u. Krankentransp.,ChIJZ9iI1KG2lUcRWbkIoVAF40k,62P5+Q5 Saarbrücken,8FX962P5+Q5,0,ChIJZ9iI1KG2lUcRWbkIoVAF40k,GOOGLE,fire_station,point_of_interest,establishment,0,"Hessenweg 7, Saarbrücken",,,,,,,
OPERATIONAL,49.2396675,7.005246700000001,49.23844572010727,7.004024170107278,49.24114537989271,7.006723829892722,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Freiwillige Feuerwehr Saarbrücken - Löschbezirk 13 St. Johann,ChIJMdgB16O2lUcRUWc3T7z26Ho,62Q4+V2 Saarbrücken,8FX962Q4+V2,4.8,ChIJMdgB16O2lUcRUWc3T7z26Ho,GOOGLE,fire_station,point_of_interest,establishment,13,"Fichtestraße 36, Saarbrücken",2240,"<a href=""https://maps.google.com/maps/contrib/101698194609354418931"">Cat Hec</a>",3968,,,,
OPERATIONAL,49.2185808,7.0170995,49.21718737010728,7.015515020107277,49.21988702989272,7.018214679892721,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Feuerwehr St. Arnual,ChIJgXpJsjC0lUcRZO26p7zUV6E,6298+CV Saarbrücken,8FX96298+CV,5,ChIJgXpJsjC0lUcRZO26p7zUV6E,GOOGLE,fire_station,point_of_interest,establishment,1,"Arnulfstraße 15, Saarbrücken",,,,true,,,
OPERATIONAL,49.2172118,7.0297864,49.21581817010728,7.02833367010728,49.21851782989273,7.031033329892724,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,"Freiwillige Feuerwehr Saarbrücken, Löschbezirk 22 Brebach",ChIJh48BXcu1lUcRbSOeYvAHCIM,628H+VW Saarbrücken,8FX9628H+VW,0,ChIJh48BXcu1lUcRbSOeYvAHCIM,GOOGLE,fire_station,point_of_interest,establishment,0,"Saarbrücker Str. 20, Saarbrücken",376,"<a href=""https://maps.google.com/maps/contrib/106100074082321544179"">A Google User</a>",571,false,,,
OPERATIONAL,49.23382429999999,6.9747886,49.23247112010727,6.973405570107278,49.23517077989271,6.976105229892722,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Freiwillige Feuerwehr Alt-Saarbrücken - Löschbezirk 11,ChIJ8exizP2zlUcRb_4cgy42T4k,6XMF+GW Saarbrücken,8FX86XMF+GW,5,ChIJ8exizP2zlUcRb_4cgy42T4k,GOOGLE,fire_station,point_of_interest,establishment,3,"Heuduckstraße 78, Saarbrücken",4000,"<a href=""https://maps.google.com/maps/contrib/101138279670089668408"">A Google User</a>",3000,,,,
OPERATIONAL,49.2304273,7.0506971,49.22907362010729,7.049348820107279,49.23177327989273,7.052048479892723,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Freiw. Feuerwehr Sbr.-Schafbrücke Gerätehaus,ChIJUd8LSt-1lUcR7sZ9OmzpVgQ,63J2+48 Saarbrücken,8FX963J2+48,5,ChIJUd8LSt-1lUcR7sZ9OmzpVgQ,GOOGLE,fire_station,point_of_interest,establishment,1,"Hirschbergstraße 12, Saarbrücken",1488,"<a href=""https://maps.google.com/maps/contrib/103526834538480153994"">A Google User</a>",2240,,,,
OPERATIONAL,49.2489303,7.053508799999999,49.24757472010727,7.052165170107279,49.25027437989272,7.054864829892723,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Freiwillige Feuerwehr Scheidt,ChIJTWF7Ig63lUcRx5AaN9pfLAA,63X3+H8 Saarbrücken,8FX963X3+H8,0,ChIJTWF7Ig63lUcRx5AaN9pfLAA,GOOGLE,fire_station,point_of_interest,establishment,0,"Schulstraße 10, Saarbrücken",800,"<a href=""https://maps.google.com/maps/contrib/106483254234389878252"">Felix Bickelmann</a>",1200,,,,
OPERATIONAL,49.2000821,7.027868499999999,49.19875477010728,7.026586770107278,49.20145442989272,7.029286429892721,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Feuerwehr Güdingen,ChIJfe0Bra21lUcRoXgkCBYEq0E,622H+24 Saarbrücken,8FX9622H+24,5,ChIJfe0Bra21lUcRoXgkCBYEq0E,GOOGLE,fire_station,point_of_interest,establishment,3,"Saargemünder Str. 132A, Saarbrücken",3120,"<a href=""https://maps.google.com/maps/contrib/109641424466258907138"">Kurt Huwig</a>",4160,true,,,
OPERATIONAL,49.23906419999999,6.9569462,49.23767707010727,6.955596920107279,49.24037672989272,6.958296579892723,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Freiwillige Feuerwehr Malstatt-Burbach,ChIJX6WJQ2CxlUcR6ExoE6df1oU,6XQ4+JQ Saarbrücken,8FX86XQ4+JQ,5,ChIJX6WJQ2CxlUcR6ExoE6df1oU,GOOGLE,fire_station,point_of_interest,establishment,7,"Heinrich-Barth-Straße 22, Saarbrücken",2240,"<a href=""https://maps.google.com/maps/contrib/101698194609354418931"">Cat Hec</a>",3968,,,,
OPERATIONAL,49.2691232,7.007096,49.26783732010728,7.005667720107278,49.27053697989272,7.008367379892722,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Feuerwehrgerätehaus Jägersfreude,ChIJc9aTPSa3lUcRu01gbRaBFxA,7294+MR Saarbrücken,8FX97294+MR,0,ChIJc9aTPSa3lUcRu01gbRaBFxA,GOOGLE,fire_station,point_of_interest,establishment,0,"Mozartstraße 14, Saarbrücken",563,"<a href=""https://maps.google.com/maps/contrib/101846763002149205850"">A Google User</a>",1000,true,,,
